Survey_ResponseID,Topic
R_01vNIayewjIIKMF,2
R_037XK72IZBJyF69,3
R_038ZU6kfQ5f89fH,17
R_03aEbghUILs9NxD,19
R_06RZP9pS7kONINr,0
R_06d9ULxrBmkwSTn,8
R_07oHvj3bLVVRCRb,2
R_085qq7w0pkhowox,6
R_08tF4u5YMrmEJ4l,10
R_08uYA7fb4unHGkF,2
R_0AjvU74YOfIrIpX,8
R_0Arj0ePpTnReV1v,6
R_0BCm9hRP9iTI081,4
R_0BWkZUjRId7FDZn,11
R_0BrMxYYMHVMOBEJ,6
R_0D6GtQwa6VcnXpv,4
R_0D6LkYgiPcEN117,19
R_0DoXqOQl0hxEeFH,5
R_0HStFOjenTsm8H7,9
R_0HuDEBXZ3BxNi0h,13
R_0Hzrb8hEmXavTk5,9
R_0IBgnbXoP4Uvvhv,3
R_0IilpPYiU01nCzn,2
R_0InTWTWokrqzy3n,5
R_0MwMIcbYO11SOwV,16
R_0O3AXCWkBaA1YOZ,2
R_0PMwN9mAFvSiMiR,6
R_0Sq4gTizoIawAud,18
R_0TXaBMuEhEzmPVD,18
R_0TjMwrWLbhR338J,11
R_0USvurXxTDWFvX3,1
R_0UsrHmkw7rRzoeB,17
R_0c8VclJcriEXQqZ,0
R_0cS0LOVu2KdO1ix,6
R_0dNGfZ4GvtFvxu1,5
R_0dgKWjG8E9DtkfD,3
R_0e9mwIgnQ7UBcGJ,1
R_0exEFdj5YTDEgqB,7
R_0eyuL7xzgnVeTRf,9
R_0f8u2tSB99LkgCt,6
R_0icLDXwMGw8dAqd,0
R_0ik28Zx98AWSuWd,5
R_0jFt3K3i4558lbj,10
R_0jQnZy5LLMrxEsN,12
R_0lEfGfpAptgrc2d,11
R_0lHgeveolyaJhND,4
R_0lebhxAsUG3SsAp,9
R_0oBzc3D8v94kGiZ,1
R_0pRmRjHkwStzNQJ,4
R_0pwPNbvgpZlir2V,18
R_0rLOCyUSUep8Gyd,9
R_0vmGaO4F0OdvNQd,8
R_0wCTiXC54rMN0J3,9
R_10AYiyZ8qGWd6td,19
R_10AtO7bUfe8iWYK,4
R_10CAlrx7dbJty9R,6
R_10GfwNctrOL9e2t,0
R_10H46dpG2DS79Fn,18
R_10HG4OAAtFluUS1,5
R_10HuhR86y7hZJYL,4
R_10JcbruZLDf9fy2,3
R_10MFxyIhsIDW0nP,0
R_10N9CD1aLy1NjgE,7
R_10O88fl87fP9wfM,19
R_10PDLObOugOU8tc,6
R_10SesRyoFJEe0pe,0
R_10TA7pCDmelHi5H,4
R_10TV1zyi4yCEEkl,16
R_10UIzdrJBjoXiRu,10
R_10UUe0vuP5GA2RB,18
R_10UkIUlEKmHGVjy,9
R_10Uv2LWb4NJfaPq,2
R_10VEwmndSsl39vM,10
R_10VPzfUmqBTJEiC,6
R_10YhHZtIc1xIXOM,2
R_10YnFpDzlwQlmrX,6
R_10ZbjWZfgeB444P,14
R_10ZbrhoAZPaSEW1,1
R_10qrHohvVyRhmA4,6
R_10r2RIJOCZFOra8,2
R_10rsQ6SV3iE7hfu,4
R_10uU7A3PqkL1i0o,6
R_10vz4qJDEgUnMop,2
R_10wSqGFumZGSTmH,0
R_10xh23ROf2jC9rP,8
R_111J2YLIGckNIeJ,18
R_111Pbqb8YG1rP4o,6
R_115Fv5zgtZvcRzJ,11
R_115sFbCaRGwFZzK,17
R_117LDoOnJxdPvkb,6
R_11WUgIV4IWfGoDX,8
R_11XEE8cl6xnH3oW,17
R_11Y3ZtLQrhccXC7,2
R_11ZpeDj8UiavB9G,9
R_11apGEU5o3Mncee,0
R_11cDnfPRwm1hsCd,11
R_11cJ3be1pQV32hb,4
R_11cp7qScmrrE4EF,8
R_11gymhOPZz4baOa,3
R_11hGWSRiBd8HPmC,15
R_11i7d5PEuwRPPSj,18
R_11iFIT1OyPW9JQ4,5
R_123DkZcbvVjnbzX,17
R_1252079aMA9rWUV,7
R_128SoytOm4LO2kk,19
R_128UcvT7YzJpnZv,17
R_129jUlsvVcVBDur,19
R_12AB3KkLYxo0JrO,17
R_12DXU1DfwUF0Aq5,0
R_12EeuI1AdMnuvET,6
R_12EhwlBIzVNKK2P,2
R_12G93XcmsS5F4Ea,2
R_12J768g8RrIKrIV,10
R_12KdI9rASwBsy9C,8
R_12L1tdacu5Cc4GE,3
R_12QFQ7lCIls8sRd,4
R_12Qo1HO9MWmZ5Az,11
R_12a3hCYZfOXK8ZC,5
R_12bC3rUwQ2h1sz5,3
R_12bTyDTgHUIoMUQ,8
R_12bxXZmV1h6iVAL,9
R_12hBKyfNeSlhKZN,12
R_12kYTBVH8kS49hc,5
R_12ljGcF6IQM7Tee,11
R_12mMk3Dq3Oo4HJb,6
R_12mdsq5k8OiJ8ji,1
R_12n9t5TqwO3mn6n,19
R_12nXZsYjzaL70kr,18
R_12osmPZNBfvNohz,18
R_12sOXAypdX0UEMp,11
R_12xnmbrb1eoH9nn,4
R_12yXy28O9QWzFKM,2
R_1BNwZP0DdTOa4rT,5
R_1BOXzyVhrXiWrFg,16
R_1BPepcPkpmd3HIv,17
R_1BPfziFOM6qTGYB,2
R_1BPo7cRkGaVw2zj,19
R_1BQWWqVdmq0KWpX,7
R_1BSmAJ72u4DLEly,7
R_1BVIsogXx71n29V,7
R_1BW4IryQMg43RFb,19
R_1BWAygjxkFXfxql,6
R_1BWxQW5L2MlpDCd,19
R_1C10dGVUKtIJdzj,15
R_1C1lcmauvsBML7g,2
R_1C1nnqKIVMlhfTh,7
R_1C1uOKUbDpVlGeM,10
R_1C465BAQuYyIY3s,2
R_1C4nKyrv0w2thJn,0
R_1C4tcyEfmcsKI9X,17
R_1C6Xm4L63yOxl59,7
R_1C75XRebT1eliL0,4
