Rank,ASIN_ISBN,Title,Frequency
1,B071DPM9RD,Group Gift Wedding Contribution,326
2,B074T91QTZ,"Google Play gift code - give the gift of games, apps and more (Email Delivery - US Only)",218
3,B00YA9JV9S,Balance Bar Chocolate Cad Size 8ct Balance Bar Chocolate 1.76z,135
4,B007K68C5M,"Old Wisconsin Turkey Sausage Snack Sticks, Naturally Smoked, Ready to Eat, High Protein, Low Carb, Keto, Gluten Free, 6 Ounce Resealable Package",101
5,B07QBQLDWJ,"Old Wisconsin Honey Brown Sugar Turkey Sausage Snack Sticks, Naturally Smoked, Ready to Eat, High Protein, Low Carb, Keto, Gluten Free, 28 Ounce Resealable Package",100
6,B07BYYQD2B,"Pepsi Soda, Mini Cans, 7.5 Ounce (Pack of 10)",78
7,B014WWW9IC,"CLn® BodyWash - Moisturizing Body Wash, For Skin Prone to Eczema, Dermatitis, Acne, Infection, and Folliculitis (8 fl oz)",77
8,B016WK6XMA,Combos Variety Pack Fun Size Baked Snacks 0.93 Ounce (Pack of 12),59
9,B013OV42NW,"Slim Jim Snack-Sized Smoked Meat Sticks, Original Flavor, Keto Friendly, 0.28 oz. 14-Count",59
10,B005Z6AK2C,"Hills Bros Instant White Chocolate Caramel Decadent Cappuccino Mix, Easy to Use, Enjoy Coffeehouse Flavor from Home, Frothy, 16 Ounce (Pack of 1)",59
11,B07F4F8N6Z,Group Gifting Baby Registry Contribution,54
12,B002UT92EY,"Blue Buffalo Wilderness High Protein, Natural Adult Dry Cat Food, Chicken 12-lb",52
13,B00ID0OWUS,"Quaker Chewy Granola Bars, Variety Value Pack, 18 Bars",51
14,B074PTWHC4,"Quaker Instant Oatmeal, Maple & Brown Sugar, Individual Packets, 1.51 Ounce (Pack of 48)",49
15,B076H2J9TZ,"Frito-Lay Variety Pack, Party Mix, 40 Count",49
16,B01MQ3ZO6B,"LIFEWTR Premium Purified Water, pH Balanced with Electrolytes, 100% recycled plastic bottles, 23.7 Fl Oz Flip Cap Bottles, 700 mL (Pack of 12)",48
17,B00VZ3NJHM,"Dole Fruit Bowls Cherry Mixed Fruit in 100% Juice, Gluten Free Healthy Snack, 4 Oz, 12 Count",44
18,B007K689MI,"Old Wisconsin Turkey Sausage Snack Sticks, Naturally Smoked, Ready to Eat, High Protein, Low Carb, Keto, Gluten Free, 28 Ounce Resealable Package",43
19,B085PV73XT,"Sparkling Ice +Caffeine Cherry Vanilla Sparkling Water, with Antioxidants and Vitamins, Zero Sugar, 16 fl oz Cans (Pack Of 12)",43
20,B00HFC2E82,"Welch's Fruit Snacks, Mixed Fruit, Gluten Free, Bulk Pack, 0.9 oz Individual Single Serve Bags 40 Count (Pack of 1)",41
21,B00FFJ2GRG,"PLANTERS Deluxe Lightly Salted Whole Cashews, 1.14 Pound (Pack of 1) Resealable Canister - Lightly Salted Cashews & Nuts - Nutrient Dense Snacks for Adults & Kids - Vegan Snacks, Kosher",40
22,B00KIPQN5S,"Nature's Recipe Grain Free Small Breed Dry Dog Food, Chicken, Sweet Potato & Pumpkin",40
23,B00UJIZ35U,Planters Salted Cashew Halves & Pieces (14 oz Canister),39
24,B00XA0DP86,"IZZE Sparkling Juice, 4 Flavor Variety Pack, 8.4 Fl Oz (24 Count)",39
25,B000R30X2A,"Capri Sun Pacific Cooler Mixed Fruit Naturally Flavored Kids Juice Drink Blend, Thanksgiving and Christmas Dinner (10 ct Box, 6 fl oz Pouches)",39
26,B000WL167S,"BREATH SAVERS Wintergreen Rings, Individually Wrapped Sugar Free Breath Mints Rolls, 0.75 oz (24 Count)",39
27,B079HXLZGY,"Amazon Basic Care Sleep Aid Tablets, Doxylamine Succinate Tablets, 25 mg, Nighttime Sleep Aid to Help You Fall Asleep, White, 96 Count",38
28,B018EY0M1U,"Bai Flavored Water, Kula Watermelon, Antioxidant Infused Drinks, 18 Fluid Ounce (Pack of 12)",38
29,B07TVRFCDZ,"The Granola Bakery Cinnamon Keto Granola Cereal | 2g Net Carb | Low Carb Snack, 11 Ounces",37
30,B008K81P08,"Utz Potato Stix, Original – 15 Oz. Canister – Shoestring Potato Sticks Made from Fresh Potatoes, Crispy, Crunchy Snacks in Resealable Container, Cholesterol Free, Trans-Fat Free, Gluten-Free Snacks",36
31,B00PVS5PCE,"Raw Rev Vegan High-Protein Bars, Creamy Peanut Butter & Sea Salt, 12g Plant Based Protein, 13g Fiber, 1.6 Oz, Pack of 12",36
32,B01J278YIQ,"ICE BREAKERS ICE CUBES ARCTIC GRAPE Fruity, Made with Xylitol, Sugar Free Chewing Gum Pouch, 8.11 oz (100 Pieces)",36
33,B01LNKHDAK,"Quaker Chewy Granola Bars, Chewy & Dipps Variety Pack, (58 Bars)",35
34,B007PE7ANY,"KIND Nut Bars, 1.4 Ounce (Pack of 12), Dark Chocolate Nuts and Sea Salt, Gluten Free, 5g Sugar, 6g Protein",35
35,B0785RNKZS,"Pringles Potato Crisps Chips, Snack Stacks, Lunch Snacks, Office and Kids Snacks, Variety Pack (27 Cups)",34
36,B006VYO276,"Utz Pub Mix - 44 Ounce Barrel - Savory Snack Mix, Blend of Crunchy Flavors for a Tasty Party Snack - Resealable Container - Cholesterol Free and Trans-Fat Free",34
37,B00MPQ5ZOS,"BetterBody Foods Organic Chia Seeds with Omega-3, Non-GMO, Gluten Free, Keto Diet Friendly, Vegan, Good Source of Fiber, 2 lbs, 32 Oz",34
38,B01J38D8YO,"V8 +ENERGY Black Cherry Energy Drink, Made with Real Vegetable and Fruit Juices, 8 FL OZ Can (Pack of 24)",34
39,B01HHVVLGQ,"Kellogg's Pop-Tarts Variety Pack - Toaster Pastries for Kids, Frosted Strawberry, Frosted Blueberry, Frosted Cherry (12 Count)",33
40,B002ULIPL8,"PLANTERS Salted Cashews, 1.5 oz. Bags (18 Pack) - Individually Packed Snacks On the Go - Snacks for Adults - Quick Snacks - Kosher",32
41,B0005XO2NI,"Herr's Sour Cream and Onion Potato Chips, 9 Ounce (Pack of 1) (package may vary)",32
42,B00IAE6S1I,"Goldfish Cheddar Crackers, Snack Crackers, 30 oz carton",32
43,B009M8VWT4,"Slim Jim Snack-Sized Smoked Meat Stick, Original Flavor, .28 Ounce, 14 Count (Pack of 1)",32
44,B07MQNF2LL,"Gatorade Zero Sugar Thirst Quencher, Glacier Cherry Variety Pack, 12 Fl Oz, Pack of 24",32
45,B0017L4PH0,"Airheads Candy Bars, Variety Bulk Box, Chewy Full Size Fruit Taffy, Gifts, Holiday, Parties, Concessions, Pantry, Non Melting, Party, 60 Individually Wrapped Full Size Bars",32
46,B013LLV3VE,"Bakery on Main Happy Steel Cut Oats, Gluten-Free, Non GMO Project Verified, Kosher, Resealable Bag, 120 Oz (Packaging May Vary)",32
47,B00PGXQ68Q,"Silk Shelf-Stable Almond Milk, Unsweetened Vanilla, Dairy-Free, Vegan, Non-GMO Project Verified, 1 Quart (Pack of 6)",31
48,B07JMM8357,"Jack Link's Beef Jerky, Teriyaki – Flavorful Everyday Snack, 10g of Protein and 80 Calories, Made with 100% Beef, Soy, Ginger and Onion – 96% Fat Free, No Added MSG** – 9 Oz. (Pack of 2)",31
49,B013OY25GA,"Snack Pack Chocolate and Vanilla Pudding Cups Family Pack, 12 Count (Pack of 1)",31
50,B01N11TDUF,"Doritos Nacho Cheese Flavored Tortilla Chips, Party Size (15 Ounce)",31
51,B00C91Q86I,"Affresh Washing Machine Cleaner, Cleans Front Load and Top Load Washers, Including HE, 6 Tablets",31
52,B07YP58GX8,"Pop-Tarts Toaster Pastries, Breakfast Foods, Kids Snacks, Variety Pack (60 Pop-Tarts)",31
53,B01126O3OY,"Pure Protein Bars, High Protein, Nutritious Snacks to Support Energy, Low Sugar, Gluten Free, Variety Pack, 1.76 oz (Pack of 18)",31
54,B07PMTGM3C,"KIND Healthy Snack Bar, Dark Chocolate Nuts & Sea Salt, 5g Sugar | 6g Protein, Gluten Free Bars, 1.4 OZ, 24 Count",31
55,B01N39RV0A,"Black Forest Fruit Snacks Juicy Burst, Berry Medley, 0.8 Ounce (40 Count), Berry Mix, 32 Ounce",30
56,B00KRFKR74,"Cascadian Farm Organic Chocolate Chip Granola Bars, 12.3 oz, 10 ct",30
57,B001EQ5SGA,"Wyler's Light Singles To Go Powder Packets, Water Drink Mix, Raspberry, 8 Packets per Box, 96 total Packets (Pack of 12)",29
58,B0716K7RSW,"Trident Wild Blueberry Twist Sugar Free Gum, 12 Packs of 14 Pieces (168 Total Pieces)",29
59,B07FGBSF45,"Amazon Brand - Solimo 2-Ply Toilet Paper, 6 Count (Pack of 5)",29
60,B09KZ6TBNY,"iHealth COVID-19 Antigen Rapid Test, 2 Tests per Pack,FDA EUA Authorized OTC At-home Self Test, Results in 15 Minutes with Non-invasive Nasal Swab, Easy to Use & No Discomfort",29
61,B00T9I172O,"Red Bull Energy Drink, Tropical, Yellow Edition, 12 fl oz (24 Pack)",29
62,B003P02EGU,"Sparkling ICE, Black Raspberry Sparkling Water, Zero Sugar Flavored Water, with Vitamins and Antioxidants, Low Calorie Beverage, 17 fl oz Bottles (Pack of 12)",28
63,B07KKJCJVY,"Green Mountain Coffee Roasters Breakfast Blend, Ground Coffee, Light Roast, Bagged 18 oz",28
64,B001V78QPC,"Quaker Quick 1-Minute Oatmeal, Non GMO Project Verified, Two 40 oz Bags in Box (Pack of 2), 55 Servings",28
65,B00PYV3L6K,"Capsuline Size 000 Gelatin Empty Capsules, 1000 Count, Empty Gel Pill Capsules, DIY Pure Bovine Pill Capsule Filling, Empty Caps, Kosher, Gluten Free and Halal Certified, Non-GMO Certified, Clear",28
66,B01M226ESB,"McCafe Medium Dark Roast Ground Coffee, Colombian, 30 Ounce (Pack of 6)",27
67,B072LR912H,"Trident Tropical Twist Sugar Free Gum, 12 Packs of 14 Pieces (168 Total Pieces)",27
68,B0015068PA,"Atkins Gluten Free Protein-Rich Shake, Milk Chocolate Delight, Keto Friendly (Pack of 12), 11 Fl Oz",27
69,B07CBKMHSW,"Mountain Dew Soda, 7.5 Ounce Mini Cans, 10 Pack",27
70,B00P5WZ01C,Cheez-It Original Baked Snack Crackers,27
71,B007PE7ANY,"KIND Bars, Dark Chocolate Nuts and Sea Salt, Healthy Snacks, Gluten Free, Low Sugar, 6g Protein, 12 Count",27
72,B004HZFASG,"Wonderful Pistachios, No Shells, Roasted & Salted Nuts, 24 Ounce Resealable Bag, Good Source of Protein, Gluten Free, On the Go Snack",27
73,B001CTO0YA,"Stretch Island Fruit Leather Snacks Variety Pack, Cherry, apple, strawberry, apricot, grape, respberry, 0.5 Ounce (Pack of 48)",26
